Timestamp ID,Pattern ID
TS28,VSL2TWG
TS199,CA2PLT
TS223,SVP2CA
TS205,VSL2TWG
TS173,TWG2AG
TS108,PLT2AG
TS111,PLT2CA
TS43,VSL2PLT
TS194,AG2MOR
TS217,AG2ATH
TS26,VSL2TWG
TS180,TR2VSL
TS95,BUK2AG
TS129,TR2AG
TS57,PLT2AG
TS217,CA2ATH
TS5,VSL2TR
TS185,MOR2CA
TS81,AG2BUK
TS220,VSL2ATH
TS39,TWG2CA
TS200,PLT2AG
TS110,VSL2PLT
TS119,MOR2VSL
TS84,CA2BUK
TS111,AG2PLT
TS56,PLT2VSL
TS204,CA2TWG
TS85,BUK2CA
TS51,PLT2CA
TS103,VSL2ATH
TS77,MOR2CA
TS118,CA2MOR
TS204,AG2TWG
TS133,VSL2TR
TS119,MOR2AG
TS209,TWG2AG
TS188,MOR2CA
TS114,TWG2AG
TS107,AG2PLT
TS130,TR2VSL
TS150,PLT2CA
TS87,BUK2CA
TS121,MOR2AG
TS122,MOR2AG
TS221,SVP2CA
TS230,VSL2SVP
TS31,TWG2CA
TS231,SVP2VSL
TS216,VSL2ATH
TS168,TWG2CA
TS202,VSL2PLT
TS195,CA2MOR
TS34,TWG2AG
TS59,PLT2VSL
TS136,ATH2CA
TS207,VSL2TWG
TS152,PLT2VSL
TS71,MOR2VSL
TS8,CA2TR
TS211,AG2ATH
TS39,TWG2VSL
TS61,CA2MOR
TS81,VSL2BUK
TS35,TWG2AG
TS62,CA2MOR
TS187,MOR2AG
TS106,PLT2AG
TS211,CA2ATH
TS22,TR2AG
TS95,BUK2VSL
TS52,PLT2VSL
TS92,BUK2CA
TS97,AG2ATH
TS142,AG2PLT
TS171,TWG2AG
TS112,TWG2CA
TS137,ATH2AG
TS173,TWG2VSL
TS46,VSL2PLT
TS2,TR2CA
TS108,VSL2PLT
TS37,TWG2AG
TS36,TWG2CA
TS94,BUK2CA
TS90,BUK2CA
TS97,CA2ATH
TS176,TWG2AG
TS164,CA2TWG
TS193,MOR2CA
