Path,Attribute,Type,Required,Size,Pattern,Example,Description
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / maximumActivityDuringTransport","maximumActivityDuringTransport",Activity,,,,,"Maximum activity of the radioactive contents during transport, expressed in becquerels with an SI prefix."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / maximumActivityDuringTransport / unit",unit,string,,maxLength=10,,TBq,"Measurement unit in which the activity `value` is expressed:
- `kBq`
- `MBq`
- `GBq`
- `TBq`
- `PBq`
- `mBq`
- `µBq`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / maximumActivityDuringTransport / value",value,"number(float)",,,,2.5,"Activity value expressed in the measurement `unit`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / physicalChemicalForm",physicalChemicalForm,string,,maxLength=500,,"Solid contaminated metal debris","Describes the physical and chemical form of the radioactive material, or a notation that the material is special form radioactive material or low dispersible radioactive material. A generic chemical description is acceptable for chemical form."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / radioactivePackageCategory","radioactivePackageCategory",string,,maxLength=10,,II-YELLOW,"Radiation package category for Class 7 material. Allowed values:
- `I-WHITE`
- `II-YELLOW`
- `III-YELLOW`"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / radionuclideIdentification","radionuclideIdentification",string,,maxLength=200,,Cs-137,"Name of the radionuclide(s) contained in Class 7 radioactive material consignments. For mixtures, provide a general description or list the most restrictive nuclides."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / totalActivityA2Multiple",totalActivityA2Multiple,"number(float)",,,,12.5,"For LSA-II, LSA-III, SCO-I, SCO-II and SCO-III, total activity of the consignment as a multiple of A2. Use 0 when A2 is unlimited."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / radioactiveMaterial / transportIndex",transportIndex,"number(float)",,,,1.8,"Transport Index (TI) assigned to the radioactive package."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / segregationGroups",segregationGroups,"string list",,,,,"List of the segregation groups applicable to specific hazardous goods according to the IMO IMDG Code.
Item description:
List of the segregation groups applicable to specific hazardous goods according to the IMO IMDG Code.
"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / specialCertificateNumber",specialCertificateNumber,string,,maxLength=100,,22663:3,"Text field to indicate certificate number & segment for specific stowage requirements overruling IMDG code"
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / subsidiaryRisk1",subsidiaryRisk1,string,,maxLength=4,,1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code."
"DGDeclaration / consignmentItems / cargoItems / outerPackaging / dangerousGoods / subsidiaryRisk2",subsidiaryRisk2,string,,maxLength=4,,1.2,"Any risk in addition to the class of the referenced dangerous goods according to the IMO IMDG Code."
